run_id,version,artifact_version,suite,case_id,is_multiturn,case_failure_type,observed_mismatch,expected_tool,actual_tool,passed,routing_correct,args_correct,failures
v0-tavily_B_group_openrouter_20260729T163117341182,v0-tavily,v0-tavily+peb1c8179815b+t524055783c81,group,B1G01_timeline_explicit_handle_limit,False,wrong_arg_value,,timeline,timeline,True,True,True,
v0-tavily_B_group_openrouter_20260729T163117341182,v0-tavily,v0-tavily+peb1c8179815b+t524055783c81,group,B1G02_social_top_explicit_limit,False,wrong_arg_value,,social_search,social_search,True,True,True,
v0-tavily_B_group_openrouter_20260729T163117341182,v0-tavily,v0-tavily+peb1c8179815b+t524055783c81,group,B1G03_web_news_month_timeframe,False,wrong_arg_value,,lookup,lookup,True,True,True,
v0-tavily_B_group_openrouter_20260729T163117341182,v0-tavily,v0-tavily+peb1c8179815b+t524055783c81,group,B1G04_missing_url_clarify,False,missing_info,missing_tool_call,clarify,fetch,False,False,False,missing tool call clarify; extra tool call fetch
v0-tavily_B_group_openrouter_20260729T163117341182,v0-tavily,v0-tavily+peb1c8179815b+t524055783c81,group,B1G05_injected_text_no_tool,False,unnecessary_tool,unexpected_tool_call,no_tool,format,False,False,False,expected no tool call
v0-tavily_B_group_openrouter_20260729T163117341182,v0-tavily,v0-tavily+peb1c8179815b+t524055783c81,group,B1G06_correct_handle_then_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0-tavily_B_group_openrouter_20260729T163117341182,v0-tavily,v0-tavily+peb1c8179815b+t524055783c81,group,B1G07_switch_social_to_web_news,True,wrong_tool,,lookup,lookup,True,True,True,
v0-tavily_B_group_openrouter_20260729T163117341182,v0-tavily,v0-tavily+peb1c8179815b+t524055783c81,group,B1G08_supply_missing_url_later,True,missing_info,,fetch,fetch,True,True,True,
v0-tavily_B_group_openrouter_20260729T163117341182,v0-tavily,v0-tavily+peb1c8179815b+t524055783c81,group,B1G09_cancel_then_meta_no_tool,True,unnecessary_tool,,no_tool,,True,True,True,
v0-tavily_B_group_openrouter_20260729T163117341182,v0-tavily,v0-tavily+peb1c8179815b+t524055783c81,group,B1G10_topic_carry_web_and_social,True,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v0_B_group_openrouter_20260729T161742773126,v0,v0+peb1c8179815b+t524055783c81,group,B1G01_timeline_explicit_handle_limit,False,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_group_openrouter_20260729T161742773126,v0,v0+peb1c8179815b+t524055783c81,group,B1G02_social_top_explicit_limit,False,wrong_arg_value,,social_search,social_search,True,True,True,
v0_B_group_openrouter_20260729T161742773126,v0,v0+peb1c8179815b+t524055783c81,group,B1G03_web_news_month_timeframe,False,wrong_arg_value,,lookup,lookup,True,True,True,
v0_B_group_openrouter_20260729T161742773126,v0,v0+peb1c8179815b+t524055783c81,group,B1G04_missing_url_clarify,False,missing_info,missing_tool_call,clarify,fetch,False,False,False,missing tool call clarify; extra tool call fetch
v0_B_group_openrouter_20260729T161742773126,v0,v0+peb1c8179815b+t524055783c81,group,B1G05_injected_text_no_tool,False,unnecessary_tool,unexpected_tool_call,no_tool,format,False,False,False,expected no tool call
v0_B_group_openrouter_20260729T161742773126,v0,v0+peb1c8179815b+t524055783c81,group,B1G06_correct_handle_then_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v0_B_group_openrouter_20260729T161742773126,v0,v0+peb1c8179815b+t524055783c81,group,B1G07_switch_social_to_web_news,True,wrong_tool,,lookup,lookup,True,True,True,
v0_B_group_openrouter_20260729T161742773126,v0,v0+peb1c8179815b+t524055783c81,group,B1G08_supply_missing_url_later,True,missing_info,,fetch,fetch,True,True,True,
v0_B_group_openrouter_20260729T161742773126,v0,v0+peb1c8179815b+t524055783c81,group,B1G09_cancel_then_meta_no_tool,True,unnecessary_tool,,no_tool,,True,True,True,
v0_B_group_openrouter_20260729T161742773126,v0,v0+peb1c8179815b+t524055783c81,group,B1G10_topic_carry_web_and_social,True,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v3_B_group_openrouter_20260729T165359529973,v3,v3+p5f2d2bf5be2c+t6cfa3f8b250b,group,B1G01_timeline_explicit_handle_limit,False,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_group_openrouter_20260729T165359529973,v3,v3+p5f2d2bf5be2c+t6cfa3f8b250b,group,B1G02_social_top_explicit_limit,False,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_group_openrouter_20260729T165359529973,v3,v3+p5f2d2bf5be2c+t6cfa3f8b250b,group,B1G03_web_news_month_timeframe,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T165359529973,v3,v3+p5f2d2bf5be2c+t6cfa3f8b250b,group,B1G04_missing_url_clarify,False,missing_info,,clarify,clarify,True,True,True,
v3_B_group_openrouter_20260729T165359529973,v3,v3+p5f2d2bf5be2c+t6cfa3f8b250b,group,B1G05_injected_text_no_tool,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_group_openrouter_20260729T165359529973,v3,v3+p5f2d2bf5be2c+t6cfa3f8b250b,group,B1G06_correct_handle_then_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_group_openrouter_20260729T165359529973,v3,v3+p5f2d2bf5be2c+t6cfa3f8b250b,group,B1G07_switch_social_to_web_news,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T165359529973,v3,v3+p5f2d2bf5be2c+t6cfa3f8b250b,group,B1G08_supply_missing_url_later,True,missing_info,,fetch,fetch,True,True,True,
v3_B_group_openrouter_20260729T165359529973,v3,v3+p5f2d2bf5be2c+t6cfa3f8b250b,group,B1G09_cancel_then_meta_no_tool,True,unnecessary_tool,,no_tool,,True,True,True,
v3_B_group_openrouter_20260729T165359529973,v3,v3+p5f2d2bf5be2c+t6cfa3f8b250b,group,B1G10_topic_carry_web_and_social,True,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
v3_B_group_openrouter_20260729T180155663371,v3,v3+p605394226a40+t9e4c35d2b484,group,B1G01_timeline_explicit_handle_limit,False,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_group_openrouter_20260729T180155663371,v3,v3+p605394226a40+t9e4c35d2b484,group,B1G02_social_top_explicit_limit,False,wrong_arg_value,,social_search,social_search,True,True,True,
v3_B_group_openrouter_20260729T180155663371,v3,v3+p605394226a40+t9e4c35d2b484,group,B1G03_web_news_month_timeframe,False,wrong_arg_value,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T180155663371,v3,v3+p605394226a40+t9e4c35d2b484,group,B1G04_missing_url_clarify,False,missing_info,,clarify,clarify,True,True,True,
v3_B_group_openrouter_20260729T180155663371,v3,v3+p605394226a40+t9e4c35d2b484,group,B1G05_injected_text_no_tool,False,unnecessary_tool,,no_tool,,True,True,True,
v3_B_group_openrouter_20260729T180155663371,v3,v3+p605394226a40+t9e4c35d2b484,group,B1G06_correct_handle_then_limit,True,wrong_arg_value,,timeline,timeline,True,True,True,
v3_B_group_openrouter_20260729T180155663371,v3,v3+p605394226a40+t9e4c35d2b484,group,B1G07_switch_social_to_web_news,True,wrong_tool,,lookup,lookup,True,True,True,
v3_B_group_openrouter_20260729T180155663371,v3,v3+p605394226a40+t9e4c35d2b484,group,B1G08_supply_missing_url_later,True,missing_info,,fetch,fetch,True,True,True,
v3_B_group_openrouter_20260729T180155663371,v3,v3+p605394226a40+t9e4c35d2b484,group,B1G09_cancel_then_meta_no_tool,True,unnecessary_tool,,no_tool,,True,True,True,
v3_B_group_openrouter_20260729T180155663371,v3,v3+p605394226a40+t9e4c35d2b484,group,B1G10_topic_carry_web_and_social,True,wrong_tool,,lookup|social_search,lookup|social_search,True,True,True,
